Anbieter,Anlagen Name,Technologie,Technologie einfach,Anlagenkennzeichnung BNetzA,Inbetriebnahme,Land,Standort,Bundesland, Eigentümer (Struktur),Betreiber,"Instalierte Leistung (Kw)
(Höchstleistung)",Bezogene Strommenge ,Einheit,Anlage EEG gefördert?
Greenpeace Energy,Alpenrose,Laufwasserkraftwerk,Wasser,,1990,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,150,,,
Greenpeace Energy,Aselkam,Laufwasserkraftwerk,Wasser,,2012,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,220,,,
Greenpeace Energy,Direktionsbrücke,Laufwasserkraftwerk,Wasser,,2012,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,570,,,
Greenpeace Energy,Dorferalm,Laufwasserkraftwerk,Wasser,,2008,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,570,,,
Greenpeace Energy,Feldkirchen,Laufwasserkraftwerk,Wasser,,1970,Deutschland,,Bayern,VERBUND Innkraftwerke GmbH,VERBUND Innkraftwerke GmbH,38200,,,
Greenpeace Energy,Flitzenbach,Laufwasserkraftwerk,Wasser,,2013,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,610,,,
Greenpeace Energy,Fuscher Ache 2,Laufwasserkraftwerk,Wasser,,1970,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,340,,,
Greenpeace Energy,Gaalbach Gaal,Laufwasserkraftwerk,Wasser,,2008,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,375,,,
Greenpeace Energy,Grießbach,Laufwasserkraftwerk,Wasser,,2011,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,260,,,
Greenpeace Energy,Grödig-2 AlmKW Schützenstr.,Laufwasserkraftwerk,Wasser,,2003,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,95,,,
Greenpeace Energy,Hoheneich,Laufwasserkraftwerk,Wasser,,1989,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,117,,,
Greenpeace Energy,Hubalpenbach,Laufwasserkraftwerk,Wasser,,1985,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,1800,,,
Greenpeace Energy,Klappacher,Laufwasserkraftwerk,Wasser,,1993,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,155,,,
Greenpeace Energy,Ködnitzbach Oberstufe,Laufwasserkraftwerk,Wasser,,1992,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,213,,,
Greenpeace Energy,Ködnitzbach USt. u. Medlbach,Laufwasserkraftwerk,Wasser,,1998,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,564,,,
Greenpeace Energy,Kristeinbach (Werk 3),Laufwasserkraftwerk,Wasser,,1973,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,2550,,,
Greenpeace Energy,Lenz ,Laufwasserkraftwerk,Wasser,,1990,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,75,,,
Greenpeace Energy,Lorenzerbach II,Laufwasserkraftwerk,Wasser,,2011,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,1040,,,
Greenpeace Energy,Märzenbach,Laufwasserkraftwerk,Wasser,,2009,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,2269,,,
Greenpeace Energy,Melk,Laufwasserkraftwerk,Wasser,,1982,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,187000,,,
Greenpeace Energy,Mödringbach,Laufwasserkraftwerk,Wasser,,2012,Österreich,,,Next Kraftwerke GmbH,Next Kraftwerke GmbH,620,,,
Greenpeace Energy,Neubruck,Laufwasserkraftwerk,Wasser,,2010,Österreich,,,Next Kraftwerke GmbH,Next Kraftwerke GmbH,1200,,,
Greenpeace Energy,Oismühle,Laufwasserkraftwerk,Wasser,,2007,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,1500,,,
Greenpeace Energy,Reding,Laufwasserkraftwerk,Wasser,,1984,Österreich,,,Next Kraftwerke GmbH,Next Kraftwerke GmbH,320,,,
Greenpeace Energy,Schönbergbach,Laufwasserkraftwerk,Wasser,,2012,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,160,,,
Greenpeace Energy,"Thalerbach (Stufe 1, M1)",Laufwasserkraftwerk,Wasser,,1964,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,1100,,,
Greenpeace Energy,Thalerbach (Stufe 2),Laufwasserkraftwerk,Wasser,,2005,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,1530,,,
Greenpeace Energy,Thalerbach OSt Fassungsbereich der Stufe 1,Laufwasserkraftwerk,Wasser,,1964,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,1080,,,
Greenpeace Energy,Triebentalbach,Laufwasserkraftwerk,Wasser,,2006,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,1820,,,
Greenpeace Energy,Turrachbach,Laufwasserkraftwerk,Wasser,,2013,Österreich,,,Next Kraftwerke GmbH,Next Kraftwerke GmbH,1660,,,
Greenpeace Energy,Villach (AHP) 1,Laufwasserkraftwerk,Wasser,,1984,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,24600,,,
Greenpeace Energy,Vorfusch,Laufwasserkraftwerk,Wasser,,1986,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,600,,,
Greenpeace Energy,Waidhofen an der Ybbs,Laufwasserkraftwerk,Wasser,,2011,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,5300,,,
Greenpeace Energy,Windache,Laufwasserkraftwerk,Wasser,,2005,Österreich,,,Next Kraftwerke GmbH,Next Kraftwerke GmbH,2690,,,
Greenpeace Energy,Breitsprecher,Windenergieanlagen,Wind,,2004,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,3600,,,
Greenpeace Energy,Bruck/Leitha (WEA 1-5),Windenergieanlagen,Wind,,2000,Österreich,,,VERBUND Renewable Power GmbH,VERBUND Renewable Power GmbH,9000,,,
Greenpeace Energy,Enzinger,Windenergieanlagen,Wind,,1996,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,200,,,
Greenpeace Energy,Eschenau,Windenergieanlagen,Wind,,2000,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,1000,,,
Greenpeace Energy,Freudenau (oekostrom Produktions GmbH),Windenergieanlagen,Wind,,1998,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,600,,,
Greenpeace Energy,Hipples,Windenergieanlagen,Wind,,2000,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,4620,,,
Greenpeace Energy,Höflein (Ökoenergie Management GmbH),Windenergieanlagen,Wind,,2004,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,4000,,,
Greenpeace Energy,Hollern,Windenergieanlagen,Wind,,2004,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,18000,,,
Greenpeace Energy,"Ing. Schartner Rudolf, WP Japons",Windenergieanlagen,Wind,,2005,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,2000,,,
Greenpeace Energy,Kreuzstetten,Windenergieanlagen,Wind,,2005,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,26000,,,
Greenpeace Energy,LGM ,Windenergieanlagen,Wind,,2004,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,2000,,,
Greenpeace Energy,Markgrafneusiedl II,Windenergieanlagen,Wind,,2006,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,3600,,,
Greenpeace Energy,Mönchhof,Windenergieanlagen,Wind,,2001,Österreich,,,VERBUND Renewable Power GmbH,VERBUND Renewable Power GmbH,10000,,,
Greenpeace Energy,Norden 2 (Bulla),Windenergieanlagen,Wind,,1991,Deutschland ,,(Niedersachsen),GPE Direktvermarktung,GPE Direktvermarktung,150,,,
Greenpeace Energy,Norden 3 (Bulla),Windenergieanlagen,Wind,,1994,Deutschland ,,(Niedersachsen),GPE Direktvermarktung,GPE Direktvermarktung,230,,,
Greenpeace Energy,Oberrödham (Energie von A bis Z GmbH & Co),Windenergieanlagen,Wind,,1999,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,1980,,,
Greenpeace Energy,Pannonia (KG Mönchhof),Windenergieanlagen,Wind,,2003,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,4000,,,
Greenpeace Energy,Parndorf,Windenergieanlagen,Wind,,2003,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,7500,,,
Greenpeace Energy,Parndorf 2,Windenergieanlagen,Wind,,2004,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,12000,,,
Greenpeace Energy,Petronell-Carnuntum GmbH,Windenergieanlagen,Wind,,2004,Österreich,,,VERBUND Renewable Power GmbH,VERBUND Renewable Power GmbH,22000,,,
Greenpeace Energy,Pömmern (FranzBollwein),Windenergieanlagen,Wind,,1996,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,200,,,
Greenpeace Energy,Potzneusiedl ,Windenergieanlagen,Wind,,2004,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,4000,,,
Greenpeace Energy,Poysdorf und  Wilfersdorf,Windenergieanlagen,Wind,,2005,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,18000,,,
Greenpeace Energy,Präbichl (AlexandraSchartner),Windenergieanlagen,Wind,,2001,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,600,,,
Greenpeace Energy,Rannersdorf,Windenergieanlagen,Wind,,2005,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,8000,,,
Greenpeace Energy,Simonsfeld ,Windenergieanlagen,Wind,,2003,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,18000,,,
Greenpeace Energy,Soltau Moide,Windenergieanlagen,Wind,,2006,Deutschland ,,(Niedersachsen),GPE Direktvermarktung,GPE Direktvermarktung,1300,,,
Greenpeace Energy,Steiglberg,Windenergieanlagen,Wind,,2002,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,2000,,,
Greenpeace Energy,Steindlberg,Windenergieanlagen,Wind,,2001,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,1320,,,
Greenpeace Energy,Wolkersdorf,Windenergieanlagen,Wind,,2003,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,6600,,,
Greenpeace Energy,Sunnic Lighthouse Solar Invest 2 GmbH ,Solar,Solar,,2015,Deutschland,,Sachsen-Anhalt,Sunnic Lighthouse GmbH,Sunnic Lighthouse GmbH,2200,,,
Greenpeace Energy,Zeithain BA 4 und 5,Solar,Solar,,2018,Deutschland,,Sachsen-Anhalt,Sunnic Lighthouse GmbH,Sunnic Lighthouse GmbH,29413,,,
grün.power,SP Alzey,Solar,Solar,E31416015500060160019E00059700300,2018,Deutschland,Alzey,Rheinland-Pfalz,Martin Berkenkamp,Privatperson,213,"1353,923",kWh,
grün.power,SP Kirchhardt,Solar,Solar,E10843010000000000000084504200000,2015,Deutschland,Kirchardt,Baden-Württemberg,EnerGeno Kirchardt GbR,Projektierer und Betreiber auf genossenschatlicher Basis,2922,"34364,133",kWh,
grün.power,WP Ebersheim Nord,Windenergieanlagen,Wind,E31060010000000072131001000100095,2000,Deutschland,Mainz-Ebersheim,Rheinland-Pfalz,Rheinwind GmbH & Co. KG,Unabhängiger Projektierer und Betreiber aus der Region,600,"7008,242",kWh,
grün.power,WP Ebersheim Süd,Windenergieanlagen,Wind,E31060010000000072260994100100283,2007,Deutschland,Mainz-Ebersheim,Rheinland-Pfalz,GAIA mbh,Unabhängiger Projektierer und Betreiber aus der Region,800,"41264,455",kWh,
grün.power,WP Ebersheim Süd,Windenergieanlagen,Wind,E31060010000000072280991000100070,2000,Deutschland,Mainz-Ebersheim,Rheinland-Pfalz,GAIA mbh,Unabhängiger Projektierer und Betreiber aus der Region,600,0,kWh,
grün.power,WP Ebersheim Süd,Windenergieanlagen,Wind,E31060010000000072280991000100384,2000,Deutschland,Mainz-Ebersheim,Rheinland-Pfalz,GAIA mbh,Unabhängiger Projektierer und Betreiber aus der Region,600,0,kWh,
grün.power,WP Ebersheim Süd,Windenergieanlagen,Wind,E31060010000000072280991000100385,2001,Deutschland,Mainz-Ebersheim,Rheinland-Pfalz,GAIA mbh,Unabhängiger Projektierer und Betreiber aus der Region,600,0,kWh,
grün.power,WP Friedrichskoog WP2,Windenergieanlagen,Wind,E20793018000000000000002800000001,1999,Deutschland,Friedrichskoog,Schleswig-Holstein,HAJJ Windpark Friedrichskoog GmbH & Co. KG,Unabhängiger Projektierer und Betreiber,450,"18043,615",kWh,
grün.power,WP Friedrichskoog WP2,Windenergieanlagen,Wind,E20793018000000000000002800000002,1999,Deutschland,Friedrichskoog,Schleswig-Holstein,HAJJ Windpark Friedrichskoog GmbH & Co. KG,Unabhängiger Projektierer und Betreiber,600,0,kWh,
grün.power,WP Friedrichskoog WP2,Windenergieanlagen,Wind,E20793018000000000000002800000003,1999,Deutschland,Friedrichskoog,Schleswig-Holstein,HAJJ Windpark Friedrichskoog GmbH & Co. KG,Unabhängiger Projektierer und Betreiber,600,0,kWh,
grün.power,WP Kandrich 1,Windenergieanlagen,Wind,E31238010000010120000008529201417,1999,Deutschland,Daxweiler,Rheinland-Pfalz,GEDEA-Ingelheim GmbH & Co. WKA Ingelheimer Wald / Kandrich KG,Unabhängiger Projektierer und Betreiber aus der Region,1500,"4937,842",kWh,
grün.power,WP Kandrich 1,Windenergieanlagen,Wind,E31238010000010120000008529201418,2000,Deutschland,Daxweiler,Rheinland-Pfalz,GEDEA-Ingelheim GmbH & Co. WKA Ingelheimer Wald / Kandrich KG,Unabhängiger Projektierer und Betreiber aus der Region,1800,0,kWh,
grün.power,WP Kandrich 1,Windenergieanlagen,Wind,E31238010000010120000008529219428,2005,Deutschland,Daxweiler,Rheinland-Pfalz,GEDEA-Ingelheim GmbH & Co. WKA Ingelheimer Wald / Kandrich KG,Unabhängiger Projektierer und Betreiber aus der Region,2000,0,kWh,
grün.power,Töging am Inn,Laufwasserkraftwerk,Wasser,keine EEG-Anlage,1924,Deutschland,Töging am Inn,Bayern,VERBUND Innkraftwerke GmbH,VERBUND Innkraftwerke GmbH,85000,"699546,79",kWh,nein
Mann-Naturenergie,Töging am Inn,Laufwasserkraftwerk,Wasser,,1924,Deutschland,Töging am Inn,,VERBUND Innkraftwerke GmbH,VERBUND Innkraftwerke GmbH,85000,,,
Mann-Naturenergie,Ybbs-Persenbeug,Laufwasserkraftwerk,Wasser,,1975,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,236500,,,
Mann-Naturenergie,Freudenau,Laufwasserkraftwerk,Wasser,,1998,Deutschland,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,57333,,,
Naturstrom,Egglfing,Laufwasserkraftwerk,Wasser,,1905,Deutschland,,Bayern,VERBUND AG,Grenzkraftwerke GmbH,84000,321685,MW,
Naturstrom,Ering,Laufwasserkraftwerk,Wasser,,1942,Deutschland,,Bayern,"VERBUND Hydro Power GmbH, Innwerk AG",Grenzkraftwerke GmbH,72500,35336,MW,
Naturstrom,Passau-Ingling,Laufwasserkraftwerk,Wasser,,1965,Deutschland,,Bayern,Österreichisch-Bayerische Kraftwerke AG,Österreichisch-Bayerische Kraftwerke AG,86400,47826,MW,
Naturstrom,Landesbergen Wasser,Laufwasserkraftwerk,Wasser,,1960,Deutschland,,Niedersachsen,Statkraft AS,Statkraft AS,9000,24993,MW,
Naturstrom,Langwedel,Laufwasserkraftwerk,Wasser,,1958,Deutschland,,Niedersachsen,Statkraft AS,Statkraft AS,10600,36852,MW,
Naturstrom,Nußdorf,Laufwasserkraftwerk,Wasser,,1982,Deutschland,,Bayern,"Österreichisch-Bayerische Kraftwerke AG, Innwerk AG","Österreichisch-Bayerische Kraftwerke AG, Innwerk AG",48000,39462,MW,
Naturstrom,Perach,Laufwasserkraftwerk,Wasser,,1977,Deutschland,,Bayern,VERBUND Innkraftwerke GmbH,VERBUND Innkraftwerke GmbH,19400,20226,MW,
Naturstrom,Stammham,Laufwasserkraftwerk,Wasser,,1955,Deutschland,,Bayern,VERBUND Innkraftwerke GmbH,VERBUND Innkraftwerke GmbH,23200,11337,MW,
Naturstrom,Wasserkraft Quinckeweg,Speicher-Wasserkraftwerk,Wasser,,1910,Deutschland,,Nordrhein-Westfalen,Privatperson,Privatperson,250,286,MW,
Naturstrom,Windpark Stöttener Berg,Onshore-Windkraftwerk,Wind,,1905,Deutschland,,Baden-Württemberg,Windpark Stöttener Berg GmbH & Co. KG,Windpark Stöttener Berg GmbH & Co. KG,2700,261,MW,
Naturstrom,WP Herzebrock,Onshore-Windkraftwerk,Wind,,2017,Deutschland,,Nordrhein-Westfalen,Windpark Möhler GmbH & Co. KG,Windpark Möhler GmbH & Co. KG,2400,1531,MW,
Naturstrom,WP Herzebrock,Windenergieanlagen,Wind,,2017,Deutschland,,Nordrhein-Westfalen,Windpark Möhler GmbH & Co. KG,Windpark Möhler GmbH & Co. KG,2400,500,MW,
Naturstrom,Langwedel,Laufwasserkraftwerk,Wasser,,1958,Deutschland,,Niedersachsen,Statkraft AS,Statkraft AS,10600,604,MW,
Naturstrom,Nußdorf,Laufwasserkraftwerk,Wasser,,1982,Deutschland,,Bayern,"Österreichisch-Bayerische Kraftwerke AG, Innwerk AG","Österreichisch-Bayerische Kraftwerke AG, Innwerk AG",48000,26793,MW,
Naturstrom,Passau-Ingling,Laufwasserkraftwerk,Wasser,,1965,Deutschland,,Bayern,Österreichisch-Bayerische Kraftwerke AG,Österreichisch-Bayerische Kraftwerke AG,86400,36819,MW,
Naturstrom,Wehrmaschine Rottau,Laufwasserkraftwerk,Wasser,,1979,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,768,137,MW,
Naturstrom,Wehrmaschine St. Martin (KW Rosegg),Laufwasserkraftwerk,Wasser,,1973,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,947,471,MW,
Naturstrom,Niklai 1&2,Laufwasserkraftwerk,Wasser,,1959,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,1635,668,MW,
Naturstrom,Restwassermaschine KW Garsten,Laufwasserkraftwerk,Wasser,,1967,Österreich,,,Ennskraftwerke AG,Ennskraftwerke AG,1700,263,MW,
Naturstrom,Gunggl,Laufwasserkraftwerk,Wasser,,1992,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,3960,9,MW,
Naturstrom,Leoben,Laufwasserkraftwerk,Wasser,,2005,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,9900,516,MW,
Naturstrom,Paternion (AHP) 1,Laufwasserkraftwerk,Wasser,,1987,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,11750,6896,MW,
Naturstrom,Kellerberg (AHP) 1,Laufwasserkraftwerk,Wasser,,1985,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,12300,440,MW,
Naturstrom,St Johann (AHP) 1,Laufwasserkraftwerk,Wasser,,1990,Österreich,,,"VERBUND Hydro Power GmbH, Salzburg AG","VERBUND Hydro Power GmbH, Salzburg AG",16500,248,MW,
Naturstrom,Weyer,Laufwasserkraftwerk,Wasser,,1970,Österreich,,,Ennskraftwerke AG,Ennskraftwerke AG,18600,3659,MW,
Naturstrom,Klaus,Laufwasserkraftwerk,Wasser,,1975,Österreich,,,Ennskraftwerke AG,Ennskraftwerke AG,19600,1365,MW,
Naturstrom,Annabrücke (AHP) 1,Laufwasserkraftwerk,Wasser,,1982,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,22500,405,MW,
Naturstrom,Mühlrading,Laufwasserkraftwerk,Wasser,,1948,Österreich,,,Ennskraftwerke AG,Ennskraftwerke AG,24800,2682,MW,
Naturstrom,St. Pantaleon,Laufwasserkraftwerk,Wasser,,1965,Österreich,,,Ennskraftwerke AG,Ennskraftwerke AG,26700,1842,MW,
Naturstrom,Reißeck/Kreuzeck (AHP) 1,Pumpspeicher-Wasserkraftwerk,Wasser,,1960,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,30467,1380,MW,
Naturstrom,Freudenau (AHP) 1,Laufwasserkraftwerk,Wasser,,1998,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,57333,48897,MW,
Naturstrom,Rosegg-St. Jakob (AHP) 1,Laufwasserkraftwerk,Wasser,,1973,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,80000,349,MW,
Naturstrom,Feistritz-Ludmannsdorf (AHP) 2,Laufwasserkraftwerk,Wasser,,1968,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,88000,236,MW,
Naturstrom,"Schärding-Neuhaus, Fluss-km 18,8",Laufwasserkraftwerk,Wasser,,1961,Österreich,,,Österreichisch-Bayerische Kraftwerke AG,Österreichisch-Bayerische Kraftwerke AG,96000,10922,MW,
Naturstrom,Abwinden-Asten (AHP) 1,Laufwasserkraftwerk,Wasser,,1979,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,168000,87360,MW,
Naturstrom,Melk (AHP) 1,Laufwasserkraftwerk,Wasser,,1982,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,187000,17446,MW,
Naturstrom,Wallsee-Mitterkirchen (AHP),Laufwasserkraftwerk,Wasser,,1968,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,210000,54635,MW,
