Anbieter,Anlagen Name,Technologie,Technologie einfach,Anlagenkennzeichnung BNetzA,Inbetriebnahme,Land,Standort,Bundesland, Eigentümer (Struktur),Betreiber,"Instalierte Leistung (Kw)
Naturstrom,Ybbs-Persenbeug,Laufwasserkraftwerk,Wasser,,1975,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,236500,18128,MW,
Naturstrom,Malta-Hauptstufe (AHP),Pumpspeicher-Wasserkraftwerk,Wasser,,1976,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,730000,63580,MW,
Naturstrom,Perach,Laufwasserkraftwerk,Wasser,,1977,Deutschland,,Bayern,VERBUND Innkraftwerke GmbH,VERBUND Innkraftwerke GmbH,19400,4105,MW,
Polarstern,Feldkirchen ,Laufwasserkraftwerk,Wasser,439990210000004000,1970,Deutschland,Feldkirchen ,Bayern,  VERBUND Innkraftwerke GmbH,  VERBUND Innkraftwerke GmbH,38000,15% der IST-Erzeugung ,,nein
Bürgerwerke,PV-Anlage Ehningen,PV-Anlage,Solar,439990210000012000,1905,Deutschland,72351 Geislingen-Binsdorf,Baden-Württemberg,Streubesitz Genossenschaftsmitglieder,Bürgerenergie Zollernalb eG (Mitgliedsgenossenschaft der Bürgerwerke),612,,,nein
Bürgerwerke,PV-Anlage Neuler,PV-Anlage,Solar,439990210000012000,2013,Deutschland,73479 Ellwangen,Baden-Württemberg,Streubesitz Genossenschaftsmitglieder,Energiegenossenschaft Virngrund eG (Mitgliedsgenossenschaft der Bürgerwerke),282,,,nein
Bürgerwerke,PV-Anlage Rückersdorf,PV-Anlage,Solar,439990210000012000,2014,Deutschland,74076 Heilbronn,Bayern,"85% EnerGeno Heilbronn-Franken eG (Mitgliedsgenossenschaft der Bürgerwerke)
15% BEG Neckar-Odenwald eG (Mitgliedsgenossenschaft der Bürgerwerke)",energeno Rückersdorf GbR,1796,,,ja
Bürgerwerke,WKA Neutscher Höhe,Windkraftanlage,Wind,439990210000012000,2011,Deutschland,64646 Heppenheim,Hessen,"51 % Energiegenossenschaft Starkenburg eG (Mitgliedsgenossenschaft der Bürgerwerke)
49 % Energiegenossenschaft Odenwald eG",Windstark-1 GmbH & Co. KG,2050,,,nein
Bürgerwerke,PV-Anlage Kirchardt,PV-Anlage,Solar,439990210000013000,2015,Deutschland,74076 Heilbronn,Baden-Württemberg,"55% EnerGeno Heilbronn-Franken eG (Mitgliedsgenossenschaft der Bürgerwerke)
15% BEG Adersbach-Sinsheim-Kraichgau eG (Mitgliedsgenossenschaft der Bürgerwerke)
15% BEG Neckar-Odenwald eG (Mitgliedsgenossenschaft der Bürgerwerke)
15% Bürgerenergie Zabergäu",energeno Kirchardt GbR,2940,,,ja
Bürgerwerke,PV-Anlage Rittersdorf,PV-Anlage,Solar,439990210000011000,2013,Deutschland,99423 Weimar,Thüringen,Streubesitz Genossenschaftsmitglieder,Energiegenossenschaft Ilmtal eG (Mitgliedsgenossenschaft der Bürgerwerke),1496,,,nein
Bürgerwerke,PV-Anlage Illerich,PV-Anlage,Solar,439990210000014000,2014,Deutschland,56814 Illerich,Rheinland-Pfalz,Streubesitz Genossenschaftsmitglieder,Bürgerenergiegenossenschaft Sonnenland Illerich eG (Mitgliedsgenossenschaft der Bürgerwerke),739,,,nein
Bürgerwerke,PV-Anlage Steinkraut,PV-Anlage,Solar,439990210000014000,2013,Deutschland,57610 Altenkirchen,Rheinland-Pfalz,Streubesitz Genossenschaftsmitglieder,Maxwäll Energie-Genossenschaft eG (Mitgliedsgenossenschaft der Bürgerwerke),2480,,,nein
Bürgerwerke,PV-Anlage Schloßgymnasium,PV-Anlage,Solar,439990210000014000,2013,Deutschland,73230 Kirchheim/Teck,Baden-Württemberg,Streubesitz Genossenschaftsmitglieder,Teckwerke Bürgerenergie eG (Mitgliedsgenossenschaft der Bürgerwerke),100,,,nein
Bürgerwerke,PV-Anlage Oberndorf-Boll,PV-Anlage,Solar,439990210000014000,2016,Deutschland,72351 Geislingen-Binsdorf,Baden-Württemberg,Streubesitz Genossenschaftsmitglieder,Bürgerenergie Zollernalb eG (Mitgliedsgenossenschaft der Bürgerwerke),920,,,ja
Bürgerwerke,PV-Anlage Lintig,PV-Anlage,Solar,439990210000013000,2016,Deutschland,74076 Heilbronn,Niedersachsen,Streubesitz Genossenschaftsmitglieder,EnerGeno Heilbronn-Franken eG (Mitgliedsgenossenschaft der Bürgerwerke),2869,,,ja
Bürgerwerke,Töging,Wasserkraft,Wasser,439990210000003000,1924,Deutschland,84513 Töging,Bayern, VERBUND Innkraftwerke GmbH ,VERBUND Innkraftwerke GmbH,85000,,,nein
EWS Schönau,Braskereidfoss  ,Laufwasserkraftwerk,Wasser,_707052300010012170,2016,,Våler kommune; Hedmark,,Im Besitz von Eidsiva Energi AS; im Besitz von Hedmark Fylkeskraft AS und weiteren Unternehmen; mit rund 20 Kommunen,Eidsiva vannkraft,36000,14877,,
EWS Schönau,Døvikfoss Kraftstasjon ,Laufwasserkraftwerk,Wasser,_707052300010004281,2015,,Modum kommune; Bruskerud,,Glitre Energi= Vardar AS; Drammen Kommune,Ecohz,16800,3203,,
EWS Schönau,Harpefossen  ,Laufwasserkraftwerk,Wasser,_707052300010012002,1965,,Sør-Fron kommune; Oppland,,Opplandskraft DA (Akershus Energi besitzt 25 Prozent der Opplandskraft DA),Ecohz,92000,7029,,
EWS Schönau,Holsen  ,Laufwasserkraftwerk,Wasser,_707052300010019933,2017,,Holsavatnet,,Hauptaktioär: Lundeberg AS; die wiederum:  Msf Consulting AS ; Abs Consulting AS ; Infotechconsult AS, Nordic Green Power,8600,9841,,
EWS Schönau,Kverninga  ,Laufwasserkraftwerk,Wasser,_707052300010017700,2013,,Rendalen kommune; Hedmark,,Aktionäre: Knut Erlend Hagen; Jørn Heiberg,Kverninga Kraftverk AS,2800,6170,,
EWS Schönau,Løpet  ,Laufwasserkraftwerk,Wasser,_707052300010012248,2013,,Åmot kommune; Hedmark,,Eidsiva vannkraft AS / Hauptaktionär: Eidsiva Energi AS / Hauptaktionär: Hedmark Fylkeskraft AS,Ecohz,29000,10048,,
EWS Schönau,Mykstufoss  ,Laufwasserkraftwerk,Wasser,_707052300010010282,2013,,Gemeinde Rollag; Buskerud,,EB Kraftproduksjon AS /// Glitre Energi (70%); E-CO Energi (30%) ///  Glitre Energi= Vardar AS; Drammen Kommune,Ecohz,48000,7835,,
EWS Schönau,Øverdal  ,Laufwasserkraftwerk,Wasser,_707052300010016871,2012,,Roan kommune; Sør-Trøndelag,,Øverdal Kraftverk AS: diverse private Personen / Single purpose company owned by local farmers/landowners operating one small scale hydro power plant,Øverdal Kraftverk AS (Registrant: ECOHZ AS),500,2445,,
EWS Schönau,Rendalen  ,Laufwasserkraftwerk,Wasser,_707052300010012026,2013,,Rendalen; 2485 Rendalen; Norwegen,,Opplandskraft DA ein Joint Venture von E-CO Energi AS (Anteil 25%);  Oppland Energi AS der Tochtergesellschaft von E-CO Energi AS (Anteil 25%); Eidsiva Vannkraft AS (Anteil 25 %) und Akershus Energi AS (Anteil 25 %)  Opplandkraft DA: Industrigata 45; 2619 Lillehammer; Norwegen E-CO Energie AS: C. J. Hambros plass 2C; Oslo Oppland Energi AS: Industrigt. 45; Lillehammer Eidsiva Vannkraft AS: Industrigata 45; 2619 Lillehammer Akershus Energi AS: Pausvegen 6; 1927 Rånåsfoss; Norwegen,Opplandskraft DA (Registrant: ECOHZ AS),100500,42120,,
EWS Schönau,Solbergfoss  ,Laufwasserkraftwerk,Wasser,_707052300010010138,2015,,Askim kommune; Østfold,,(2/3) E-Co Energi AS > E-Co Energi Holding AS > Oslo Kommune; (1/3) Statkraft,E-Co Energi AS,208000,14,,
EWS Schönau,Usma  ,Laufwasserkraftwerk,Wasser,_707052300010017304,2013,,Selbu kommune; Trøndelag,,TrønderEnergi / Hauptaktionär: Melhus Kommune,Ecohz,9980,15973,,
EWS Schönau,Vossedalselvi  ,Laufwasserkraftwerk,Wasser,_707052300010019957,2017,,Voss kommune; Hordaland,,Hauptaktioär: Lundeberg AS; die wiederum:  Msf Consulting AS ; Abs Consulting AS ; Infotechconsult AS,Nordic Green Power,7100,7577,,
EWS Schönau,Gols ,Onshore-Windkraftwerk,Wind,,2005,,,,,WEB Windenergie AG,undefined,6401,,
EWS Schönau,Grafenschlag ,Onshore-Windkraftwerk,Wind,,1997,,,,,WEB Windenergie AG,undefined,1155,,
EWS Schönau,Hagenbrunn I,Onshore-Windkraftwerk,Wind,,1996,,,,,WEB Windenergie AG,undefined,844,,
EWS Schönau,Hagenbrunn II-IV,Onshore-Windkraftwerk,Wind,,2000,,,,,WEB Windenergie AG,undefined,2873,,
EWS Schönau,Hartlauer Handels-GesmbH ,Onshore-Windkraftwerk,Wind,,2003,,,,,Hartlauer Handels-GesmbH ,undefined,723,,
EWS Schönau,Matzen ,Onshore-Windkraftwerk,Wind,,2000,,,,,WEB Windenergie AG,undefined,1343,,
EWS Schönau,Michelbach ,Onshore-Windkraftwerk,Wind,,1995,,,,,WEB Windenergie AG,undefined,290,,
EWS Schönau,Neuhof 1,Onshore-Windkraftwerk,Wind,,2003,,,,,WEB Windenergie AG,undefined,34527,,
EWS Schönau,Neuhof 2,Onshore-Windkraftwerk,Wind,,2005,,,,,WEB Windenergie AG,undefined,3746,,
EWS Schönau,Oberstrahlbach ,Onshore-Windkraftwerk,Wind,,1997,,,,,WEB Windenergie AG,undefined,1516,,
EWS Schönau,Parbasdorf I,Onshore-Windkraftwerk,Wind,,1998,,,,,WEB Windenergie AG,undefined,2659,,
EWS Schönau,Parndorf ,Onshore-Windkraftwerk,Wind,,2005,,,,,WEB Windenergie AG,undefined,831,,
EWS Schönau,Pottenbrunn I-V,Onshore-Windkraftwerk,Wind,,1998,,,,,WEB Windenergie AG,undefined,3424,,
EWS Schönau,Pottenbrunn VI-VII,Onshore-Windkraftwerk,Wind,,2000,,,,,WEB Windenergie AG,undefined,1654,,
EWS Schönau,Seyring I,Onshore-Windkraftwerk,Wind,,1997,,,,,WEB Windenergie AG,undefined,988,,
EWS Schönau,Seyring II,Onshore-Windkraftwerk,Wind,,2000,,,,,WEB Windenergie AG,undefined,948,,
EWS Schönau,Seyring III,Onshore-Windkraftwerk,Wind,,2000,,,,,WEB Windenergie AG,undefined,1184,,
EWS Schönau,Stattersdorf ,Onshore-Windkraftwerk,Wind,,2005,,,,,WEB Windenergie AG,undefined,1965,,
EWS Schönau,Vösendorf ,Onshore-Windkraftwerk,Wind,,1996,,,,,WEB Windenergie AG,undefined,720,,
EWS Schönau,WEA Sternwald 1,Onshore-Windkraftwerk,Wind,,2003,,,,,WEA Sternwald 1,undefined,1440,,
EWS Schönau,WEB Windenergie AG,Onshore-Windkraftwerk,Wind,,1996,,,,,KW Windkraft Reittern,undefined,489,,
EWS Schönau,Windkraftanlage ,Onshore-Windkraftwerk,Wind,,2003,,,,,Zukunfts-Energie Gesellschaft mbH;,undefined,1146,,
EWS Schönau,Windpark Langmannersdorf,Onshore-Windkraftwerk,Wind,,2004,,,,,WEB Windenergie AG;,undefined,5622,,
EWS Schönau,Windpark Sternwald II,Onshore-Windkraftwerk,Wind,,2005,,,,,Windpark Sternwald II,undefined,1304,,
EWS Schönau,WP Markgrafneusiedl ,Onshore-Windkraftwerk,Wind,,2003,,,,,WP Markgrafneusiedl ,undefined,1148,,
EWS Schönau,APV  ,Photovoltaik,Solar,,2017,,,,,APV  ,undefined,115,,
EWS Schönau,Hissmofors stn 6,Speicher-Wasserkraftwerk,Wasser,_643002406616003140,2013,,Nähe Östersund; Schweden,,Jämtkraft AB (Anteil 100%) im Besitz von drei regionalen Gemeinden Jämtkraft AB: Jämtkraft AB; Box 394; 831 25 Östersund; Schweden,Jämtkraft AB,66000,147510,,
EWS Schönau,Bagn  ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010008630,2012,,Sør-Aurdal kommune,,Oppland Energi AS: E-Co Energi AS / Eidsiva Vannkraft AS; Skagerak Kraft AS > Skagerak Energi AS > Statkraft Industrial Holding AS > Statkraft Industrial Holding AS; Skien Kommune ; Porsgrunn Kommune; Bamble Kommune,Oppland Energi AS; Skagerak Kraft AS,75500,4924,,
EWS Schönau,Brokke,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010007503,1964,,Valle kommune; Aust-Agder,,Otra Kraft / Hauptaktionär = Agder Energi Vannkraft AS,Otra Kraft (Agder Energi Vannkraft AS 68;6%; Skagerak Energi 31;4%),330000,15302,,
EWS Schönau,Evanger Kraftverk ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010006902,2015,,Voss kommune; Hordaland,,Statkraft Industrial Holding AS 49;90 %; Bergen kommune 37;75 %; Askøy kommune 2;48 %; Lindås kommune 1;95 %; Fjell; kommune 1;89 %; Sund kommune 1;02 %; Kvam herad 0;90 %; Meland kommune 0;76 %; Radøy kommune 0;74 %; Voss kommune 0;62 %; Øygarden kommune 0;52 %; Austrheim kommune 0;43 %; Vaksdal kommune 0;37 %; Gulen kommune 0;27 %; Høyanger kommune 0;12 %; Fedje kommune 0;12 %; Masfjorden kommune 0;10 %; Granvin herad 0;05 %,BKK Produksjon AS,330000,6126,,
EWS Schönau,Fjellet  ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010018202,2015,,Økteren; Fjellvannet (Skien),,Hauptaktionär: Arendals Fossekompani ASA; die wiederum: Ulfoss Invest AS; die wiederum: Vicama AS,Markedskraft AS,4300,10807,,
EWS Schönau,Folkedal  ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010006032,2013,, Granvin Kommune; Hordaland ,, Single purpose company owned by local farmers/landowners operating one small scale hydro power plant ,Hardanger Energi AS (registrant: Nordic Green Power),4990,11553,,
EWS Schönau,Forsanvatn kraftverk ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010017403,2013,, Forsanvatnet ,, SKS Gruppe; die wiederum: Salten Kraftsamband AS; die wiederum: Bodø Kommune ,SKS Handel AS,8800,15270,,
EWS Schönau,Forsanvatn minikraftverk ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010017410,2013,, Forsanvatnet ,, SKS Gruppe; die wiederum: Salten Kraftsamband AS; die wiederum: Bodø Kommune ,SKS Handel AS,720,4380,,
EWS Schönau,Grytneselva  ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010019346,2016,,Nesset kommune; Møre og Romsdal,,Clemens Kraft AS; Fridtjof Nansens plass 6; 0160 Oslo /// Mehrheitsaktionär (50;1%) ist der Bildungsfonds (OVF); die seit 1821 große Wald und Bodeneigenschaften hat es geschaffen. Heute unterliegt der Fonds des Bildungsfonds dem Kulturministerium; und das Geschäft ist in Abschnitt 116 der Verfassung geregelt. Die restlichen 49;9% gehören der CPV / CAP Pensionskasse Coop (CPV). Die CPV wurde 1909 gegründet und ist die Pensionskasse der Schweizer Coop-Gruppe.,Ecohz,5900,3449,,
EWS Schönau,Holsfossen  ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010012194,2014,,Gausdal kommune; Oppland,,Eidsiva Energi AS > Hauptaktionär Hedmark Fylkeskraft AS > Hauptaktionär Hedmark Fylkeskommune,Eidsiva vannkraft,2200,3385,,
EWS Schönau,Istad kraftverk ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010017557,2013,,Molde kommune; Møre og Romsdal,,Istad Kraft /// Istad Kraft ist eine hundertprozentige Tochtergesellschaft von Istad AS = 100 % Statkraft Industrial Holding AS,Ecohz,4800,4809,,
EWS Schönau,Matre Haugsdal ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010007282,2016,,Masfjorden,,Statkraft Industrial Holding AS 49;90 %; Bergen kommune 37;75 %; Askøy kommune 2;48 %; Lindås kommune 1;95 %; Fjell kommune 1;89 %; Sund kommune 1;02 %; Kvam herad 0;90 %; Meland kommune 0;76 %; Radøy kommune 0;74 %; Voss kommune 0;62 %; Øygarden kommune 0;52 %; Austrheim kommune 0;43 %; Vaksdal kommune 0;37 %; Gulen kommune 0;27 %; Høyanger kommune 0;12 %; Fedje kommune 0;12 %; Masfjorden kommune 0;10 %; Granvin herad 0;05 %,BKK Produksjon AS,180000,1072,,
EWS Schönau,Nedre Vinstra ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010011975,2014,,Nord-Fron kommune; Oppland,,E-CO Energi 40/60 - 66;67 % / Eidsiva Vannkraft 17/60 - 28;33 % / Stange Energi 3/60 - 5;00 %,Kinect,308000,2256,,
EWS Schönau,Øvre Vinstra ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010012057,2016,,Nord-Fron kommune; Oppland,,Opplandskraft DA ein Joint Venture von E-CO Energi AS (Anteil 25%);  Oppland Energi AS der Tochtergesellschaft von E-CO Energi AS (Anteil 25%); Eidsiva Vannkraft AS (Anteil 25 %) und Akershus Energi AS (Anteil 25 %)  Opplandkraft DA: Industrigata 45; 2619 Lillehammer; Norwegen E-CO Energie AS: C. J. Hambros plass 2C; Oslo Oppland Energi AS: Industrigt. 45; Lillehammer Eidsiva Vannkraft AS: Industrigata 45; 2619 Lillehammer Akershus Energi AS: Pausvegen 6; 1927 Rånåsfoss; Norwegen,Ecohz,140000,9156,,
EWS Schönau,Rosten  ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010020625,2018,,Sel kommune; Oppland,,Das Kraftwerk Rosten befindet sich im Eigentum von Oppland Energi AS (72 Prozent) und AS Eidefoss (28 Prozent). Oppland Energi AS ist im Besitz von E-CO Vannkraft AS (61 Prozent) und Eidsiva Vannkraft AS (39 Prozent). Eidefoss hat die Fallrechte an die Gemeinde Sel übernommen. ,Oppland Energi AS,80000,5852,,
EWS Schönau,Seterkraft  ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010017878,2014,,Sunndal kommune; Møre og Romsdal,,Seterkraft AS: Knut Sæther 41%; Psaktiv AS 13.39%; John Erstad 13.26%; Magnus Edvard Sæther 9%; Ole Petter Sjøholt 8.83%; Ole Anders Husby 8.83%; Gjermund Smistad 5.7%,Seterkraft AS (Registrant: ECOHZ AS),4740,9566,,
EWS Schönau,Smådøla kraftverk ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010018400,2015,,Smådøla,,Hauptaktionär: Arendals Fossekompani ASA; die wiederum: Ulfoss Invest AS; die wiederum: Vicama AS,Markedskraft AS,13700,19588,,
EWS Schönau,Steinåga  ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010017380,2013,,Steinåga,, SKS Gruppe; die wiederum: Salten Kraftsamband AS; die wiederum: Bodø Kommune ,SKS Handel AS,5400,13985,,
EWS Schönau,Steinsland Kraftverk ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010007312,2013,,Modalen,,Statkraft Industrial Holding AS 49;90 % Bergen kommune 37;75 % Askøy kommune 2;48 % Lindås kommune 1;95 % Fjell kommune 1;89 % Sund kommune 1;02 % Kvam herad 0;90 % Meland kommune 0;76 % Radøy kommune 0;74 % Voss kommune 0;62 % Øygarden kommune 0;52 % Austrheim kommune 0;43 % Vaksdal kommune 0;37 % Gulen kommune 0;27 % Høyanger kommune 0;12 % Fedje kommune 0;12 % Masfjorden kommune 0;10 % Granvin herad 0;05 %,BKK Produksjon AS,170000,4742,,
EWS Schönau,Svartelva  ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010009088,2016,,Rissa kommune; Sør-Trøndelag,,Trønderenergi AS > u. a. Melhus kommune; Orkdal Kommune; Kommunal Landspensjonskasse und über 20 weitere Kommunen,TrønderEnergi Kraft AS,14000,1767,,
EWS Schönau,Torsnes Kraftverk ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010017588,2013,,Veslavatnet ,,Hauptaktionär: Nordkraft AS; die wiederum: Narvik Kommune,Nordkraft Produksjon AS,7400,13635,,
EWS Schönau,Venna  ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010017564,2013,,Snillfjord kommune; Sør-Trøndelag,,100 % Lars Petter Ven,Venna Kraft AS,2800,6364,,
EWS Schönau,Brokke  ,Unspezifiziertes Wasserkraftwerk,Wasser,,2014,,,,,Agder Energi,undefined,15302,,
EWS Schönau,Høgefoss  ,Unspezifiziertes Wasserkraftwerk,Wasser,,1919,,,,Agder Energi Vannkraft AS (100%),Agder Energi Vannkraft AS (100%),undefined,34687,,
EWS Schönau,Holen 3 ,Unspezifiziertes Wasserkraftwerk,Wasser,,1987,,,,Otra Kraft (Agder Energi Vannkraft AS 68;6%; Skagerak Energi 31;4%),Otra Kraft (Agder Energi Vannkraft AS 68;6%; Skagerak Energi 31;4%),undefined,4749,,
EWS Schönau,Holen I-II ,Unspezifiziertes Wasserkraftwerk,Wasser,,1981,,,,Otra Kraft (Agder Energi Vannkraft AS 68;6%; Skagerak Energi 31;4%),Otra Kraft (Agder Energi Vannkraft AS 68;6%; Skagerak Energi 31;4%),undefined,11037,,
EWS Schönau,Hovatn  ,Unspezifiziertes Wasserkraftwerk,Wasser,,1971,,,,Agder Energi Vannkraft AS (100%),Agder Energi Vannkraft AS (100%),undefined,6860,,
EWS Schönau,Iveland  ,Unspezifiziertes Wasserkraftwerk,Wasser,,1949,,,,Agder Energi Vannkraft AS (100%),Agder Energi Vannkraft AS (100%),undefined,347,,
EWS Schönau,Jørundland  ,Unspezifiziertes Wasserkraftwerk,Wasser,,1970,,,,Agder Energi Vannkraft AS (100%),Agder Energi Vannkraft AS (100%),undefined,11718,,
EWS Schönau,Logna  ,Unspezifiziertes Wasserkraftwerk,Wasser,,1961,,,,Agder Energi Vannkraft AS (100%),Agder Energi Vannkraft AS (100%),undefined,8300,,
EWS Schönau,Smeland  ,Unspezifiziertes Wasserkraftwerk,Wasser,,1985,,,,Agder Energi Vannkraft AS (100%),Agder Energi Vannkraft AS (100%),undefined,6314,,
